Unnamed: 0,Title,Author,Year,Subjects,Filename,Total Number Words,Two Most Common Words,Ratio of Unique and Total Words
0,The Armed Forces OfficerDepartment of the Army Pamphlet 600-2,United States Department of Defense,unknown,"[""United States -- Armed Forces -- Officers' handbooks""]",./books/the-armed-forces-officerdepartment-of-the-army-pamphlet-6002-united-states-department-of-defens.txt,195332,"['the', 'of']",0.047155611983699545
1,"Frankenstein; Or, The Modern Prometheus",Shelley Mary Wollstonecraft ,1797-1851,"['Science fiction', 'Horror tales', 'Gothic fiction', 'Scientists -- Fiction', 'Monsters -- Fiction', 'Frankenstein, Victor (Fictitious character) -- Fiction', ""Frankenstein's monster (Fictitious character) -- Fiction""]",./books/frankenstein-or-the-modern-prometheus-shelley-mary-wollstonecraft.txt,81590,"['the', 'and']",0.09290354210074764
2,Pride and Prejudice,Austen Jane ,1775-1817,"['England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Sisters -- Fiction', 'Domestic fiction', 'Courtship -- Fiction', 'Social classes -- Fiction']",./books/pride-and-prejudice-austen-jane.txt,126221,"['the', 'to']",0.053556856624491965
3,"A Modest ProposalFor preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",Swift Jonathan ,1667-1745,"['Political satire, English', 'Religious satire, English', 'Ireland -- Politics and government -- 18th century -- Humor']",./books/a-modest-proposalfor-preventing-the-children-of-poor-people-in-ireland-from-being-a-burden-on-their-parents-or-country-and-for-making-them-beneficial-to-the-publick-swift-jonathan.txt,6717,"['the', 'of']",0.24222122971564686
4,A Christmas Carol in Prose; Being a Ghost Story of Christmas,Dickens Charles Leech John ,1812-1817,"['Christmas stories', 'London (England) -- Fiction', 'Poor families -- Fiction', 'Ghost stories', 'Misers -- Fiction', 'Sick children -- Fiction', 'Scrooge, Ebenezer (Fictitious character) -- Fiction']",./books/a-christmas-carol-in-prose-being-a-ghost-story-of-christmas-dickens-charles-leech-john.txt,32451,"['the', 'and']",0.1440017256787156
5,A Doll's House : a play,Ibsen Henrik ,1828-1906,"['Marriage -- Drama', 'Man-woman relationships -- Drama', 'Norwegian drama -- Translations into English', 'Wives -- Drama']",./books/a-dolls-house--a-play-ibsen-henrik.txt,31360,"['you', 'the']",0.0916454081632653
6,The Scarlet Letter,Hawthorne Nathaniel Anthony A V S Andrew Varick Stout Foote Mary Hallock Ipsen Ludvig Sandöe,1804-1835,"['Adultery -- Fiction', 'Historical fiction', 'Revenge -- Fiction', 'Psychological fiction', 'Married women -- Fiction', 'Clergy -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Illegitimate children -- Fiction', 'Women immigrants -- Fiction', 'Puritans -- Fiction', 'Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction']",./books/the-scarlet-letter-hawthorne-nathaniel-anthony-a-v-s-andrew-varick-stout-foote-mary-hallock-ipsen-ludvig-sandö.txt,89161,"['the', 'of']",0.09967362411816826
7,Alice's Adventures in Wonderland,Carroll Lewis ,1832-1898,"['Fantasy fiction', ""Children's stories"", 'Imaginary places -- Juvenile fiction', 'Alice (Fictitious character from Carroll) -- Juvenile fiction']",./books/alices-adventures-in-wonderland-carroll-lewis.txt,30743,"['the', 'and']",0.10301532056077806
8,The Strange Case of Dr. Jekyll and Mr. Hyde,Stevenson Robert Louis ,1850-1894,"['Science fiction', 'Horror tales', 'London (England) -- Fiction', 'Physicians -- Fiction', 'Psychological fiction', 'Self-experimentation in medicine -- Fiction', 'Multiple personality -- Fiction']",./books/the-strange-case-of-dr-jekyll-and-mr-hyde-stevenson-robert-louis.txt,29173,"['the', 'of']",0.14893908751242588
9,Anthem,Rand Ayn ,1905-1982,"['Science fiction', 'Psychological fiction', 'Love stories', 'Time travel -- Fiction', 'Men -- Psychology -- Fiction', 'Individuality -- Fiction']",./books/anthem-rand-ayn.txt,22537,"['the', 'we']",0.10964192217242756
